stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,platform_code
116,116,Av. J.J. Fernandes - SFAL,,38.66732155757968,-9.051210880279541,,,0,,,,
157,157,R. Adelina Abranches - Igreja,,38.667954013340356,-9.049285054206848,,,0,,,,
158,158,R. de Damão - Alto do Facho,,38.665223104740555,-9.049392342567444,,,0,,,,
159,159,R. de Damão - Cemitério do Lavradio,,38.66255492320379,-9.04947280883789,,,0,,,,
75,75,R. Miguel Bombarda - Misericórdia,,38.65505,-9.068103,,,0,,,,
76,76,R. Miguel Bombarda  - Av. de Santa Maria,,38.65623382644195,-9.06947135925293,,,0,,,,
48,48,R. Miguel Bombarda - Mercado 25 de Abril,,38.65781729470147,-9.071177244186401,,,0,,,,
133,133,R. Stara Zagora,,38.662002006588345,-9.074347615242004,,,0,,,,
50,50,Av. Alfredo da Silva - Parque,,38.660912915920925,-9.078558683395384,,,0,,,,
95,95,Estação - Coina,,38.58537343712433,-9.051876068115234,,,0,,,,
331,331,Coina - Zona Comercial,,38.581264,-9.044017,,,0,,,,
275,275,EN 10 - Qtª do Conde,,38.572377358745044,-9.037477970123291,,,0,,,,
216,216,Estrada da Qtª da Areia - Campo da Bola,,38.58117586445477,-9.034350514411926,,,0,,,,
217,217,Estrada da Qtª da Areia - Centro,,38.585457302210166,-9.036297798156738,,,0,,,,
218,218,Estrada da Qtª da Areia,,38.58973009871179,-9.038856625556946,,,0,,,,
219,219,Estrada da Quinta da Areia - Centro de Saúde de Coina,,38.593281483849296,-9.04175341129303,,,0,,,,
221,221,Estrada de Covas de Coina - Rotunda,,38.592354870190995,-9.034988880157469,,,0,,,,
222,222,Estrada de Covas de Coina -  Antiga Fábrica,,38.590753183990934,-9.031866788864136,,,0,,,,
223,223,Estrada de Covas de Coina,,38.59007811706169,-9.028181433677673,,,0,,,,
207,207,Estrada de Covas de Coina,,38.58801094717594,-9.024394154548645,,,0,,,,
225,225,Estrada de Covas de Coina - Qtª do Peliche,,38.587046527072935,-9.021652936935425,,,0,,,,
226,226,EM 1028,,38.59383912340851,-9.021942615509033,,,0,,,,
202,202,R. da Serração,,38.597054900107175,-9.017436504364012,,,0,,,,
203,203,R. da Serração - Vilas da Serra,,38.59266933318042,-9.01577353477478,,,0,,,,
204,204,R. da Serração,,38.59689977468172,-9.017490148544312,,,0,,,,
315,315,Esc. Básica da Penalva,,38.60021603169759,-9.01779592037201,,,0,,,,
317,317,Penalva - Cruzamento,,38.601964236991805,-9.01552140712738,,,0,,,,
229,229,R. David Mourão Ferreira Sul,,38.605797,-9.01676,,,0,,,,
